iso_code,country,current_population,updated_datetime
CHN,China,1443839846,55:28.5
IND,India,1392365583,55:28.5
USA,United States,332764085,55:28.5
IDN,Indonesia,276140523,55:28.5
PAK,Pakistan,224866511,55:28.5
BRA,Brazil,213882580,55:28.5
NGA,Nigeria,210990407,55:28.5
BGD,Bangladesh,166178837,55:28.5
RUS,Russia,145913619,55:28.5
MEX,Mexico,130158702,55:28.5
JPN,Japan,126083592,55:28.5
ETH,Ethiopia,117649844,55:28.5
PHL,Philippines,110932526,55:28.5
EGY,Egypt,104108790,55:28.5
VNM,Vietnam,98104510,55:28.5
COD,Dr Congo,92158697,55:28.5
TUR,Turkey,84984364,55:28.5
IRN,Iran,84949750,55:28.5
DEU,Germany,83890540,55:28.5
THA,Thailand,69939124,55:28.5
GBR,United Kingdom,68181501,55:28.5
FRA,France,65413770,55:28.5
TZA,Tanzania,61360968,55:28.5
ITA,Italy,60373682,55:28.5
ZAF,South Africa,59984872,55:28.5
KEN,Kenya,54890893,55:28.5
MMR,Myanmar,54775416,55:28.5
KOR,South Korea,51301742,55:28.5
COL,Colombia,51234366,55:28.5
UGA,Uganda,47015377,55:28.5
ESP,Spain,46746326,55:28.5
ARG,Argentina,45573921,55:28.5
SDN,Sudan,44827014,55:28.5
DZA,Algeria,44557823,55:28.5
UKR,Ukraine,43487254,55:28.5
IRQ,Iraq,41103899,55:28.5
AFG,Afghanistan,39764217,55:28.5
CAN,Canada,38042373,55:28.5
POL,Poland,37801303,55:28.5
MAR,Morocco,37311154,55:28.5
SAU,Saudi Arabia,35298617,55:28.5
UZB,Uzbekistan,33899816,55:28.5
AGO,Angola,33850076,55:28.5
PER,Peru,33329363,55:28.5
MYS,Malaysia,32744602,55:28.5
MOZ,Mozambique,32092576,55:28.5
GHA,Ghana,31680813,55:28.5
YEM,Yemen,30438897,55:28.5
NPL,Nepal,29637180,55:28.5
VEN,Venezuela,28686739,55:28.5
MDG,Madagascar,28370063,55:28.5
CMR,Cameroon,27171412,55:28.5
CIV,Ivory Coast,27001146,55:28.5
PRK,North Korea,25878702,55:28.5
AUS,Australia,25765531,55:28.5
NER,Niger,25058582,55:28.5
TWN,Taiwan,23851993,55:28.5
LKA,Sri Lanka,21490735,55:28.5
BFA,Burkina Faso,21450761,55:28.5
MLI,Mali,20808631,55:28.5
MWI,Malawi,19607326,55:28.5
CHL,Chile,19204050,55:28.5
ROU,Romania,19136426,55:28.5
KAZ,Kazakhstan,18978027,55:28.5
ZMB,Zambia,18878727,55:28.5
SYR,Syria,18226777,55:28.5
GTM,Guatemala,18223903,55:28.5
ECU,Ecuador,17869292,55:28.5
SEN,Senegal,17161123,55:28.5
NLD,Netherlands,17170167,55:28.5
KHM,Cambodia,16928792,55:28.5
TCD,Chad,16876847,55:28.5
SOM,Somalia,16323216,55:28.5
ZWE,Zimbabwe,15073984,55:28.5
GIN,Guinea,13469153,55:28.5
RWA,Rwanda,13251467,55:28.5
BEN,Benin,12425482,55:28.5
BDI,Burundi,12227142,55:28.5
TUN,Tunisia,11926858,55:28.5
BOL,Bolivia,11820502,55:28.5
BEL,Belgium,11628882,55:28.5
HTI,Haiti,11530841,55:28.5
SSD,South Sudan,11366578,55:28.5
CUB,Cuba,11318160,55:28.5
DOM,Dominican Republic,10945506,55:28.5
CZE,Czech Republic,10723445,55:28.5
GRC,Greece,10374729,55:28.5
JOR,Jordan,10261906,55:28.5
AZE,Azerbaijan,10216796,55:28.5
PRT,Portugal,10170259,55:28.5
SWE,Sweden,10155416,55:28.5
HND,Honduras,10050696,55:28.5
ARE,United Arab Emirates,9983120,55:28.5
TJK,Tajikistan,9733290,55:28.5
HUN,Hungary,9636270,55:28.5
BLR,Belarus,9443403,55:28.5
PNG,Papua New Guinea,9105633,55:28.5
AUT,Austria,9040110,55:28.5
ISR,Israel,8779357,55:28.5
CHE,Switzerland,8710599,55:28.5
SRB,Serbia,8700595,55:28.5
TGO,Togo,8462653,55:28.5
SLE,Sierra Leone,8128564,55:28.5
HKG,Hong Kong,7548455,55:28.5
LAO,Laos,7371360,55:28.5
PRY,Paraguay,7212893,55:28.5
LBY,Libya,6952014,55:28.5
BGR,Bulgaria,6900676,55:28.5
LBN,Lebanon,6771309,55:28.5
NIC,Nicaragua,6696294,55:28.5
KGZ,Kyrgyzstan,6620301,55:28.5
SLV,El Salvador,6516023,55:28.5
TKM,Turkmenistan,6111207,55:28.5
SGP,Singapore,5892929,55:28.5
DNK,Denmark,5811647,55:28.5
COG,Republic Of The Congo,5646198,55:28.5
FIN,Finland,5547734,55:28.5
NOR,Norway,5462072,55:28.5
SVK,Slovakia,5460693,55:28.5
OMN,Oman,5213783,55:28.5
PSE,Palestine,5213413,55:28.5
LBR,Liberia,5170611,55:28.5
CRI,Costa Rica,5135580,55:28.5
IRL,Ireland,4979520,55:28.5
CAF,Central African Republic,4913122,55:28.5
NZL,New Zealand,4857598,55:28.5
MRT,Mauritania,4765385,55:28.5
PAN,Panama,4376427,55:28.5
KWT,Kuwait,4323512,55:28.5
HRV,Croatia,4083501,55:28.5
MDA,Moldova,4024816,55:28.5
GEO,Georgia,3980533,55:28.5
ERI,Eritrea,3597198,55:28.5
URY,Uruguay,3484269,55:28.5
MNG,Mongolia,3325333,55:28.5
BIH,Bosnia And Herzegovina,3265031,55:28.5
JAM,Jamaica,2972524,55:28.5
ARM,Armenia,2967757,55:28.5
QAT,Qatar,2926316,55:28.5
ALB,Albania,2873360,55:28.5
PRI,Puerto Rico,2831073,55:28.5
LTU,Lithuania,2692395,55:28.5
NAM,Namibia,2583758,55:28.5
GMB,Gambia,2481480,55:28.5
BWA,Botswana,2393769,55:28.5
GAB,Gabon,2274641,55:28.5
LSO,Lesotho,2157741,55:28.5
MKD,North Macedonia,2082743,55:28.5
SVN,Slovenia,2078724,55:28.5
GNB,Guinea Bissau,2011794,55:28.5
LVA,Latvia,1868422,55:28.5
BHR,Bahrain,1744710,55:28.5
GNQ,Equatorial Guinea,1446253,55:28.5
TTO,Trinidad And Tobago,1403062,55:28.5
TLS,Timor Leste,1341909,55:28.5
EST,Estonia,1325299,55:28.5
MUS,Mauritius,1273319,55:28.5
CYP,Cyprus,1214929,55:28.5
DJI,Djibouti,1001105,55:28.5
FJI,Fiji,902422,55:28.5
RU,Reunion,901202,55:28.5
COM,Comoros,886971,55:28.5
GUY,Guyana,790041,55:28.5
BTN,Bhutan,779243,55:28.5
SLB,Solomon Islands,702658,55:28.5
MAC,Macau,657654,55:28.5
LUX,Luxembourg,634102,55:28.5
MNE,Montenegro,628053,55:28.5
ESH,Western Sahara,610765,55:28.5
SUR,Suriname,591402,55:28.5
CPV,Cape Verde,561443,55:28.5
MDV,Maldives,543275,55:28.5
MLT,Malta,442670,55:28.5
BRN,Brunei,441219,55:28.5
BLZ,Belize,404345,55:28.5
BHS,Bahamas,396628,55:28.5
MTQ,Martinique,374802,55:28.5
ISL,Iceland,343182,55:28.5
VUT,Vanuatu,313895,55:28.5
NCL,New Caledonia,288019,55:28.5
BRB,Barbados,287683,55:28.5
PYF,French Polynesia,282416,55:28.5
MYT,Mayotte,279003,55:28.5
STP,Sao Tome And Principe,223026,55:28.5
WSM,Samoa,200035,55:28.5
LCA,Saint Lucia,184343,55:28.5
GUM,Guam,170065,55:28.5
CUW,Curacao,164741,55:28.5
KIR,Kiribati,121250,55:28.5
FSM,Micronesia,116169,55:28.5
GRD,Grenada,112993,55:28.5
VCT,Saint Vincent And The Grenadines,111263,55:28.5
ABW,Aruba,107204,55:28.5
TON,Tonga,106675,55:28.5
VIR,United States Virgin Islands,104254,55:28.5
SYC,Seychelles,98880,55:28.5
ATG,Antigua And Barbuda,98674,55:28.5
IMN,Isle Of Man,85410,55:28.5
AND,Andorra,77355,55:28.5
DMA,Dominica,72167,55:28.5
CYM,Cayman Islands,66497,55:28.5
BMU,Bermuda,62090,55:28.5
MHL,Marshall Islands,59610,55:28.5
MNP,Northern Mariana Islands,57917,55:28.5
GRL,Greenland,56877,55:28.5
ASM,American Samoa,55100,55:28.5
KNA,Saint Kitts And Nevis,53544,55:28.5
FRO,Faroe Islands,49049,55:28.5
MAF,Sint Maarten,43412,55:28.5
MCO,Monaco,39511,55:28.5
MAF,Saint Martin,39234,55:28.5
TCA,Turks And Caicos Islands,39231,55:28.5
LIE,Liechtenstein,38250,55:28.5
SMR,San Marino,34017,55:28.5
GIB,Gibraltar,33698,55:28.5
PLW,Palau,18169,55:28.5
COK,Cook Islands,17565,55:28.5
AIA,Anguilla,15117,55:28.5
TUV,Tuvalu,11931,55:28.5
WLF,Wallis And Futuna,11094,55:28.5
NRU,Nauru,10876,55:28.5
BL,Saint Barthelemy,9907,55:28.5
SPM,Saint Pierre And Miquelon,5766,55:28.5
MSR,Montserrat,4977,55:28.5
FLK,Falkland Islands,3533,55:28.5
NIU,Niue,1619,55:28.5
TKL,Tokelau,1373,55:28.5
VAT,Vatican City,800,55:28.5
